	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
0	14723793	14723793_0	0	210	Molecular	JJ	0	9	O	[None]	[None]	[None]
1	14723793	14723793_0	0	210	cloning	NN	10	17	O	[None]	[None]	[None]
2	14723793	14723793_0	0	210	and	CC	18	21	O	[None]	[None]	[None]
3	14723793	14723793_0	0	210	characterization	NN	22	38	O	[None]	[None]	[None]
4	14723793	14723793_0	0	210	of	IN	39	41	O	[None]	[None]	[None]
5	14723793	14723793_0	0	210	the	DT	42	45	O	[None]	[None]	[None]
6	14723793	14723793_0	0	210	mouse	NN	46	51	O	[None]	[None]	[None]
7	14723793	14723793_0	0	210	Acdp	NNP	52	56	O	[None]	[None]	[None]
8	14723793	14723793_0	0	210	gene	NN	57	61	O	[None]	[None]	[None]
9	14723793	14723793_0	0	210	family	NN	62	68	O	[None]	[None]	[None]
10	14723793	14723793_0	0	210	Abstract	NNP	70	78	O	[None]	[None]	[None]
11	14723793	14723793_0	0	210	Background	NNP	80	90	O	[None]	[None]	[None]
12	14723793	14723793_0	0	210	We	PRP	92	94	O	[None]	[None]	[None]
13	14723793	14723793_0	0	210	have	VBP	95	99	O	[None]	[None]	[None]
14	14723793	14723793_0	0	210	recently	RB	100	108	O	[None]	[None]	[None]
15	14723793	14723793_0	0	210	cloned	VBN	109	115	O	[None]	[None]	[None]
16	14723793	14723793_0	0	210	and	CC	116	119	O	[None]	[None]	[None]
17	14723793	14723793_0	0	210	characterized	VBN	120	133	O	[None]	[None]	[None]
18	14723793	14723793_0	0	210	a	DT	134	135	O	[None]	[None]	[None]
19	14723793	14723793_0	0	210	novel	JJ	136	141	O	[None]	[None]	[None]
20	14723793	14723793_0	0	210	gene	NN	142	146	O	[None]	[None]	[None]
21	14723793	14723793_0	0	210	family	NN	147	153	O	[None]	[None]	[None]
22	14723793	14723793_0	0	210	named	VBN	154	159	O	[None]	[None]	[None]
23	14723793	14723793_0	0	210	ancient	NN	160	167	O	[None]	[None]	[None]
24	14723793	14723793_0	0	210	conserved	VBD	168	177	O	[None]	[None]	[None]
25	14723793	14723793_0	0	210	domain	NN	178	184	O	[None]	[None]	[None]
26	14723793	14723793_0	0	210	protein	NN	185	192	O	[None]	[None]	[None]
27	14723793	14723793_0	0	210	(	(	193	194	O	[None]	[None]	[None]
28	14723793	14723793_0	0	210	ACDP	NNP	194	198	O	[None]	[None]	[None]
29	14723793	14723793_0	0	210	)	)	198	199	O	[None]	[None]	[None]
30	14723793	14723793_0	0	210	in	IN	200	202	O	[None]	[None]	[None]
31	14723793	14723793_0	0	210	humans	NNS	203	209	O	[None]	[None]	[None]
32	14723793	14723793_0	0	210	.	.	209	210	O	[None]	[None]	[None]
33	14723793	14723793_1	211	362	To	TO	211	213	O	[None]	[None]	[None]
34	14723793	14723793_1	211	362	facilitate	VB	214	224	O	[None]	[None]	[None]
35	14723793	14723793_1	211	362	the	DT	225	228	O	[None]	[None]	[None]
36	14723793	14723793_1	211	362	functional	JJ	229	239	O	[None]	[None]	[None]
37	14723793	14723793_1	211	362	study	NN	240	245	O	[None]	[None]	[None]
38	14723793	14723793_1	211	362	of	IN	246	248	O	[None]	[None]	[None]
39	14723793	14723793_1	211	362	this	DT	249	253	O	[None]	[None]	[None]
40	14723793	14723793_1	211	362	novel	JJ	254	259	O	[None]	[None]	[None]
41	14723793	14723793_1	211	362	gene	NN	260	264	O	[None]	[None]	[None]
42	14723793	14723793_1	211	362	family	NN	265	271	O	[None]	[None]	[None]
43	14723793	14723793_1	211	362	,	,	271	272	O	[None]	[None]	[None]
44	14723793	14723793_1	211	362	we	PRP	273	275	O	[None]	[None]	[None]
45	14723793	14723793_1	211	362	have	VBP	276	280	O	[None]	[None]	[None]
46	14723793	14723793_1	211	362	cloned	VBN	281	287	O	[None]	[None]	[None]
47	14723793	14723793_1	211	362	and	CC	288	291	O	[None]	[None]	[None]
48	14723793	14723793_1	211	362	characterized	VBN	292	305	O	[None]	[None]	[None]
49	14723793	14723793_1	211	362	Acdp	NNP	306	310	O	[None]	[None]	[None]
50	14723793	14723793_1	211	362	,	,	310	311	O	[None]	[None]	[None]
51	14723793	14723793_1	211	362	the	DT	312	315	O	[None]	[None]	[None]
52	14723793	14723793_1	211	362	mouse	NN	316	321	O	[None]	[None]	[None]
53	14723793	14723793_1	211	362	homologue	NN	322	331	O	[None]	[None]	[None]
54	14723793	14723793_1	211	362	of	IN	332	334	O	[None]	[None]	[None]
55	14723793	14723793_1	211	362	the	DT	335	338	O	[None]	[None]	[None]
56	14723793	14723793_1	211	362	human	JJ	339	344	O	[None]	[None]	[None]
