	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
0	17244351	17244351_0	0	284	Combining	VBG	0	9	['O']	[None]	[None]	[None]
1	17244351	17244351_0	0	284	global	JJ	10	16	['O']	[None]	[None]	[None]
2	17244351	17244351_0	0	284	genome	NN	17	23	['O']	[None]	[None]	[None]
3	17244351	17244351_0	0	284	and	CC	24	27	['O']	[None]	[None]	[None]
4	17244351	17244351_0	0	284	transcriptome	JJ	28	41	['O']	[None]	[None]	[None]
5	17244351	17244351_0	0	284	approaches	NNS	42	52	['O']	[None]	[None]	[None]
6	17244351	17244351_0	0	284	to	TO	53	55	['O']	[None]	[None]	[None]
7	17244351	17244351_0	0	284	identify	VB	56	64	['O']	[None]	[None]	[None]
8	17244351	17244351_0	0	284	the	DT	65	68	['O']	[None]	[None]	[None]
9	17244351	17244351_0	0	284	candidate	NN	69	78	['O']	[None]	[None]	[None]
10	17244351	17244351_0	0	284	genes	NNS	79	84	['O']	[None]	[None]	[None]
11	17244351	17244351_0	0	284	of	IN	85	87	['O']	[None]	[None]	[None]
12	17244351	17244351_0	0	284	small	JJ	88	93	['O']	[None]	[None]	[None]
13	17244351	17244351_0	0	284	-	:	93	94	['O']	[None]	[None]	[None]
14	17244351	17244351_0	0	284	effect	NN	94	100	['O']	[None]	[None]	[None]
15	17244351	17244351_0	0	284	quantitative	JJ	101	113	['O']	[None]	[None]	[None]
16	17244351	17244351_0	0	284	trait	NN	114	119	['O']	[None]	[None]	[None]
17	17244351	17244351_0	0	284	loci	NN	120	124	['O']	[None]	[None]	[None]
18	17244351	17244351_0	0	284	in	IN	125	127	['O']	[None]	[None]	[None]
19	17244351	17244351_0	0	284	collagen	NN	128	136	['O']	[None]	[None]	[None]
20	17244351	17244351_0	0	284	-	:	136	137	['O']	[None]	[None]	[None]
21	17244351	17244351_0	0	284	induced	JJ	137	144	['O']	[None]	[None]	[None]
22	17244351	17244351_0	0	284	arthritis	NN	145	154	['O']	[None]	[None]	[None]
23	17244351	17244351_0	0	284	Abstract	NNP	156	164	['O']	[None]	[None]	[None]
24	17244351	17244351_0	0	284	Quantitative	NNP	166	178	['O']	[None]	[None]	[None]
25	17244351	17244351_0	0	284	traits	NNS	179	185	['O']	[None]	[None]	[None]
26	17244351	17244351_0	0	284	such	JJ	186	190	['O']	[None]	[None]	[None]
27	17244351	17244351_0	0	284	as	IN	191	193	['O']	[None]	[None]	[None]
28	17244351	17244351_0	0	284	complex	JJ	194	201	['O']	[None]	[None]	[None]
29	17244351	17244351_0	0	284	diseases	NNS	202	210	['O']	[None]	[None]	[None]
30	17244351	17244351_0	0	284	are	VBP	211	214	['O']	[None]	[None]	[None]
31	17244351	17244351_0	0	284	controlled	VBN	215	225	['O']	[None]	[None]	[None]
32	17244351	17244351_0	0	284	by	IN	226	228	['O']	[None]	[None]	[None]
33	17244351	17244351_0	0	284	many	JJ	229	233	['O']	[None]	[None]	[None]
34	17244351	17244351_0	0	284	small	JJ	234	239	['O']	[None]	[None]	[None]
