	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
0	16433929	16433929_0	0	252	m	SYM	0	1	O	[None]	[None]	[None]
1	16433929	16433929_0	0	252	-	:	1	2	O	[None]	[None]	[None]
2	16433929	16433929_0	0	252	Calpain	NN	2	9	O	[None]	[None]	[None]
3	16433929	16433929_0	0	252	is	VBZ	10	12	O	[None]	[None]	[None]
4	16433929	16433929_0	0	252	required	VBN	13	21	O	[None]	[None]	[None]
5	16433929	16433929_0	0	252	for	IN	22	25	O	[None]	[None]	[None]
6	16433929	16433929_0	0	252	preimplantation	NN	26	41	O	[None]	[None]	[None]
7	16433929	16433929_0	0	252	embryonic	NN	42	51	O	[None]	[None]	[None]
8	16433929	16433929_0	0	252	development	NN	52	63	O	[None]	[None]	[None]
9	16433929	16433929_0	0	252	in	IN	64	66	O	[None]	[None]	[None]
10	16433929	16433929_0	0	252	mice	NNS	67	71	O	[None]	[None]	[None]
11	16433929	16433929_0	0	252	Abstract	NNP	73	81	O	[None]	[None]	[None]
12	16433929	16433929_0	0	252	Background	NNP	83	93	O	[None]	[None]	[None]
13	16433929	16433929_0	0	252	μ	NNP	95	96	O	[None]	[None]	[None]
14	16433929	16433929_0	0	252	-	:	96	97	O	[None]	[None]	[None]
15	16433929	16433929_0	0	252	calpain	NN	97	104	O	[None]	[None]	[None]
16	16433929	16433929_0	0	252	and	CC	105	108	O	[None]	[None]	[None]
17	16433929	16433929_0	0	252	m	SYM	109	110	O	[None]	[None]	[None]
18	16433929	16433929_0	0	252	-	:	110	111	O	[None]	[None]	[None]
19	16433929	16433929_0	0	252	calpain	NN	111	118	O	[None]	[None]	[None]
20	16433929	16433929_0	0	252	are	VBP	119	122	O	[None]	[None]	[None]
21	16433929	16433929_0	0	252	ubiquitously	RB	123	135	O	[None]	[None]	[None]
