	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
0	15328533	15328533_0	0	248	Regulation	NN	0	10	['O']	[None]	[None]	[None]
1	15328533	15328533_0	0	248	of	IN	11	13	['O']	[None]	[None]	[None]
2	15328533	15328533_0	0	248	Muscle	NNP	14	20	['O']	[None]	[None]	[None]
3	15328533	15328533_0	0	248	Fiber	NNP	21	26	['O']	[None]	[None]	[None]
4	15328533	15328533_0	0	248	Type	NNP	27	31	['O']	[None]	[None]	[None]
5	15328533	15328533_0	0	248	and	CC	32	35	['O']	[None]	[None]	[None]
6	15328533	15328533_0	0	248	Running	NNP	36	43	['O']	[None]	[None]	[None]
7	15328533	15328533_0	0	248	Endurance	NNP	44	53	['O']	[None]	[None]	[None]
8	15328533	15328533_0	0	248	by	IN	54	56	['O']	[None]	[None]	[None]
9	15328533	15328533_0	0	248	PPARδ	NNP	57	62	['B']	['PR_reasoned_2017_04_17_Instance_13355']	['PR:000013057']	['peroxisome proliferator-activated receptor delta']
10	15328533	15328533_0	0	248	Abstract	NNP	64	72	['O']	[None]	[None]	[None]
11	15328533	15328533_0	0	248	Endurance	NNP	74	83	['O']	[None]	[None]	[None]
12	15328533	15328533_0	0	248	exercise	NN	84	92	['O']	[None]	[None]	[None]
13	15328533	15328533_0	0	248	training	NN	93	101	['O']	[None]	[None]	[None]
14	15328533	15328533_0	0	248	can	MD	102	105	['O']	[None]	[None]	[None]
15	15328533	15328533_0	0	248	promote	VB	106	113	['O']	[None]	[None]	[None]
16	15328533	15328533_0	0	248	an	DT	114	116	['O']	[None]	[None]	[None]
17	15328533	15328533_0	0	248	adaptive	JJ	117	125	['O']	[None]	[None]	[None]
18	15328533	15328533_0	0	248	muscle	NN	126	132	['O']	[None]	[None]	[None]
19	15328533	15328533_0	0	248	fiber	NN	133	138	['O']	[None]	[None]	[None]
20	15328533	15328533_0	0	248	transformation	NN	139	153	['O']	[None]	[None]	[None]
21	15328533	15328533_0	0	248	and	CC	154	157	['O']	[None]	[None]	[None]
22	15328533	15328533_0	0	248	an	DT	158	160	['O']	[None]	[None]	[None]
23	15328533	15328533_0	0	248	increase	NN	161	169	['O']	[None]	[None]	[None]
24	15328533	15328533_0	0	248	of	IN	170	172	['O']	[None]	[None]	[None]
25	15328533	15328533_0	0	248	mitochondrial	JJ	173	186	['O']	[None]	[None]	[None]
26	15328533	15328533_0	0	248	biogenesis	NN	187	197	['O']	[None]	[None]	[None]
27	15328533	15328533_0	0	248	by	IN	198	200	['O']	[None]	[None]	[None]
28	15328533	15328533_0	0	248	triggering	VBG	201	211	['O']	[None]	[None]	[None]
29	15328533	15328533_0	0	248	scripted	VBN	212	220	['O']	[None]	[None]	[None]
30	15328533	15328533_0	0	248	changes	NNS	221	228	['O']	[None]	[None]	[None]
31	15328533	15328533_0	0	248	in	IN	229	231	['O']	[None]	[None]	[None]
32	15328533	15328533_0	0	248	gene	NN	232	236	['O']	[None]	[None]	[None]
33	15328533	15328533_0	0	248	expression	NN	237	247	['O']	[None]	[None]	[None]
34	15328533	15328533_0	0	248	.	.	247	248	['O']	[None]	[None]	[None]
35	15328533	15328533_1	249	335	However	RB	249	256	['O']	[None]	[None]	[None]
36	15328533	15328533_1	249	335	,	,	256	257	['O']	[None]	[None]	[None]
37	15328533	15328533_1	249	335	no	DT	258	260	['O']	[None]	[None]	[None]
38	15328533	15328533_1	249	335	transcription	NN	261	274	['O']	[None]	[None]	[None]
39	15328533	15328533_1	249	335	factor	NN	275	281	['O']	[None]	[None]	[None]
40	15328533	15328533_1	249	335	has	VBZ	282	285	['O']	[None]	[None]	[None]
41	15328533	15328533_1	249	335	yet	RB	286	289	['O']	[None]	[None]	[None]
42	15328533	15328533_1	249	335	been	VBN	290	294	['O']	[None]	[None]	[None]
43	15328533	15328533_1	249	335	identified	VBN	295	305	['O']	[None]	[None]	[None]
44	15328533	15328533_1	249	335	that	IN	306	310	['O']	[None]	[None]	[None]
45	15328533	15328533_1	249	335	can	MD	311	314	['O']	[None]	[None]	[None]
